作者HCYPMGO (黑白郎君)看板Stock標題[新聞] 台股將添活水…勞動基金買股 1,540億上膛時間Tue Sep 12 07:21:49 2023
推 rahim       : 你每個月繳勞保，公司幫你提撥勞保勞退，這些錢就 09/12 08:45

→ rahim       : 是定期要投入股市呀，跟你自己定期定額差不多 09/12 08:45

→ laechan     : 剛好倒 09/12 08:45

推 pnsboy      : 最軟的一塊來了 最好欺負 09/12 08:46

推 jecint1707  : 注意 09/12 08:47

推 lpmybig     : 原來我自提的意思就是這樣喔 不過操盤的比我強多了 09/12 08:48

→ wondtty     : 全買航運 09/12 08:48

推 photonic    : 又來搞了 買0050不會? 09/12 08:48

推 BruceChen227: 注意 09/12 08:50

→ allgood123  : 希望別跟著AI…. 09/12 08:50

推 hydra3179   : 政府這幾年操作沒有比全買0050差吧 09/12 08:53

→ BTSgod      : 最會虧錢的基金來了 09/12 08:54

推 BroDians    : 活水強制買股 09/12 08:54

推 yzupe5566   : 膛炸 09/12 08:55

→ brain9453   : 又來搞事 09/12 08:55

→ myloso      : 注意 09/12 08:56

推 panda816    : 注液！ 09/12 08:57

推 littenVenus : https://i.imgur.com/2MZdNwF.gif 09/12 08:59

推 ebeta       : 外資 自營：這提款機真棒，提不完 09/12 09:00

→ ck326       : 每天吹活水，量繼續縮，笑死 09/12 09:04

→ BroDians    : 有活水呀，喔我不進場了，你們自己玩，反正成交量差 09/12 09:05

→ BroDians    : 不多 09/12 09:05

推 macinwould  : 注意 09/12 09:07

推 iansuture   : Yes 09/12 09:08

推 kiddking    : 為什麼不全買0050就好了？還要不給投信賺？ 09/12 09:11

推 CTC0115     : 買0050怎麼自己先上車啊，當然要玩個股啊 09/12 09:12

推 kiriru      : 注意！政府幫你 09/12 09:12

推 GilGalad    : 注意 09/12 09:16

推 gtjs45      : 注意 09/12 09:17

推 n946        : 哈哈 我身上也有15400元的活水 09/12 09:17

推 AndyMAX     : 這基金就是給投信買ESG權值 為什麼還要買0050剝兩 09/12 09:18

→ AndyMAX     : 層皮？ 09/12 09:18

推 n0bp6gjo3   : 注意 09/12 09:20

推 jkilonger123: 每天都有活水 死水吧 09/12 09:21

噓 CarbonK     : 提款咯 09/12 09:25

推 gamixxxx    : 也太早 09/12 09:26

→ willieSin   : 還沒跌多少就開始拿民眾的錢護盤 09/12 09:26

推 ntuooo      : 丸子 09/12 09:26

推 Lowpapa     : 勞工   嘻嘻 09/12 09:32

推 lamanzana   : 指數還在萬六就急著護盤? 09/12 09:34

→ lamanzana   : 美國升息台幣貶外資都在提款台股回美國 09/12 09:35

→ lamanzana   : 現在護盤無異送錢給外資 去年10月跌到12682才護盤 09/12 09:36

→ lamanzana   : 不懂為什麼現在急著進場 09/12 09:37

→ dosiris     : 你不買 政府幫你用退休金買 09/12 09:41

推 supeedada123: 推文小心 09/12 09:43

推 imba789     : 外資：ATM一直補錢欸 09/12 09:43

→ libramog    : 這次每個人要賠幾萬？ 09/12 09:46

推 on32        : 笑死一堆人在說又在護盤 怎不想去年萬五以下護盤呢 09/12 09:56

